,song,name,trackid,trackuri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,clust
0,"Bagatelle in A Minor, WoO 59 ""Für Elise""",Various Artists,50tFFbm0a9fp5K7tPTl0Gi,spotify:track:50tFFbm0a9fp5K7tPTl0Gi,0.352,0.0949,9,-25.077,0,0.0466,0.993,0.912,0.106,0.0519,131.865,196013,0
1,Never Tear Us Apart,INXS,1GjbTNFImFrjFsNdleDe78,spotify:track:1GjbTNFImFrjFsNdleDe78,0.664,0.613,0,-7.56,1,0.0273,0.00309,0.000128,0.175,0.193,96.6,184587,4
2,Need You Tonight,INXS,3h04eZTnmFLRMjZajbrp2R,spotify:track:3h04eZTnmFLRMjZajbrp2R,0.795,0.63,10,-7.217,0,0.0841,0.0419,0.575,0.0894,0.785,108.701,181107,3
3,New Sensation,INXS,2xcrseImDFEf8Urommws03,spotify:track:2xcrseImDFEf8Urommws03,0.682,0.954,9,-4.951,1,0.0625,0.00712,4.04e-05,0.052,0.928,115.475,220160,4
4,Never Tear Us Apart,INXS,3pyTksNccLM1jRvzQ4zTke,spotify:track:3pyTksNccLM1jRvzQ4zTke,0.664,0.613,0,-7.56,1,0.0273,0.00309,0.000128,0.175,0.193,96.6,184587,4
5,Original Sin,INXS,7G67ZJRQT9nn2Fa9vA6B32,spotify:track:7G67ZJRQT9nn2Fa9vA6B32,0.685,0.633,9,-7.259,1,0.0377,0.0136,0.000106,0.0935,0.731,131.397,317240,4
6,Theme From Schindler's List,John Williams,3DzMT13HJV7EsbVbNZZJZQ,spotify:track:3DzMT13HJV7EsbVbNZZJZQ,0.117,0.134,2,-24.162,0,0.0415,0.864,0.838,0.0977,0.0769,83.83,255160,0
7,"Bizet: Carmen, WD 31, Act 1 Scene 4: No. 5, Havanaise, ""L'amour est un oiseau rebelle"" (Carmen, Chorus)",Georges Bizet,2r1FiNXh5mDNEP8K07YRVp,spotify:track:2r1FiNXh5mDNEP8K07YRVp,0.363,0.115,2,-17.325,1,0.0689,0.976,0.0,0.0992,0.231,134.424,262147,1
8,"Puccini: Madama Butterfly, Act 2: ""Un bel di vedremo"" (Butterfly)",Giacomo Puccini,69EKwvg7nkdOO3RmeUMJZG,spotify:track:69EKwvg7nkdOO3RmeUMJZG,0.207,0.17,1,-11.784,1,0.0404,0.991,0.0243,0.0804,0.0827,77.235,287907,1
9,"Puccini: Gianni Schicchi, Act 1: ""O mio babbino caro"" (Lauretta)",Giacomo Puccini,78k57V2uo6Sm72j1H7Ih14,spotify:track:78k57V2uo6Sm72j1H7Ih14,0.17,0.108,8,-16.626,1,0.0424,0.972,0.0715,0.153,0.0792,74.536,154507,1
10,Andrea Chenier (1997 Digital Remaster): La mamma morta,Maria Callas,2rnCae7ZO9bIfQFscasS3q,spotify:track:2rnCae7ZO9bIfQFscasS3q,0.235,0.144,2,-11.303,1,0.0449,0.975,7.53e-05,0.163,0.0387,78.639,292600,1
11,"Ave Maria, dolce Maria",Luciano Pavarotti,3SRQUPAJBy9zdKk0AWVbry,spotify:track:3SRQUPAJBy9zdKk0AWVbry,0.228,0.346,6,-10.698,1,0.039,0.982,0.016,0.192,0.0681,128.309,163640,1
12,"La Traviata / Act 1: ""Libiamo ne'lieti calici""",Giuseppe Verdi,3jQa7pofP3CHRTt4Xnoyt6,spotify:track:3jQa7pofP3CHRTt4Xnoyt6,0.424,0.214,10,-17.688,1,0.0763,0.962,2.9e-05,0.681,0.282,113.211,175507,1
13,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto",Ludwig van Beethoven,3DNRdudZ2SstnDCVKFdXxG,spotify:track:3DNRdudZ2SstnDCVKFdXxG,0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,315427,0
14,"Für Elise, WoO 59",Ludwig van Beethoven,1QGN2Perfetpju3762mJsk,spotify:track:1QGN2Perfetpju3762mJsk,0.303,0.108,9,-27.433,0,0.0473,0.994,0.877,0.0805,0.18,126.931,188467,0
15,"Symphony No. 7 in A Major, Op. 92: II. Allegretto",Ludwig van Beethoven,3UCkSy4kbnW02zvLJPRTiT,spotify:track:3UCkSy4kbnW02zvLJPRTiT,0.229,0.00756,4,-26.971,0,0.0398,0.894,0.0639,0.104,0.0399,131.936,526373,1
16,Requiem: Lacrimosa,Stephen Cleobury,69RoAhDqFOiQb2pQvb24Ii,spotify:track:69RoAhDqFOiQb2pQvb24Ii,0.162,0.102,2,-23.315,0,0.036,0.932,0.9,0.17,0.0445,131.626,169667,0
17,"Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante",Wolfgang Amadeus Mozart,2YarjDYjBJuH63dUIh9OWv,spotify:track:2YarjDYjBJuH63dUIh9OWv,0.194,0.0324,5,-28.215,1,0.0382,0.982,0.961,0.0916,0.0596,144.13,433800,0
18,"Le Nozze di Figaro, K. 492: Sinfonia",Wolfgang Amadeus Mozart,4rjnWmrSRqXVkFWdKMG3pV,spotify:track:4rjnWmrSRqXVkFWdKMG3pV,0.386,0.0738,2,-19.369,1,0.0433,0.839,0.947,0.155,0.172,142.499,251200,0
19,"Mozart / Arr. Grieg for Two Pianos: Piano Sonata No. 16 in C Major, K. 545 ""Semplice"": I. Allegro (Live)",Martha Argerich,6LKsT6X9BxMK8ePCDNRLal,spotify:track:6LKsT6X9BxMK8ePCDNRLal,0.401,0.14,0,-22.696,1,0.0338,0.99,0.929,0.078,0.326,130.037,283213,0
20,"Piano Quartet No. 1 in G Minor, K. 478: II. Andante",Wolfgang Amadeus Mozart,0oM6BbdHGhEza0gG8Y06pK,spotify:track:0oM6BbdHGhEza0gG8Y06pK,0.294,0.0428,10,-24.864,1,0.0368,0.977,0.532,0.191,0.17,67.698,418133,0
21,"Serenade In G Major: Eine Kleine Nachtmusik, K. 525: I. Allegro",Wolfgang Amadeus Mozart,4GRDiNU8fkizXz4rDX9gS5,spotify:track:4GRDiNU8fkizXz4rDX9gS5,0.39,0.0432,6,-24.344,1,0.0506,0.723,0.000303,0.108,0.326,147.436,468133,1
22,Nocturne en mi bémol majeur opus 9 n°2: Ballade en Sol Mineur No.1,Frédéric Chopin,7n92QzQomRCLlciO14X0kd,spotify:track:7n92QzQomRCLlciO14X0kd,0.387,0.0451,3,-24.698,1,0.0364,0.99,0.913,0.112,0.071,61.494,268427,0
23,"Nocturne, Op. posth. in C-Sharp Minor: Lento",Frédéric Chopin,0bcGY7mfG10QfeaDbz97hC,spotify:track:0bcGY7mfG10QfeaDbz97hC,0.272,0.00397,1,-31.601,0,0.0475,0.992,0.9,0.0763,0.19,72.059,239973,0
24,"Chopin: Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",Frédéric Chopin,2BdCGziEn9nEl59rzUJ3XT,spotify:track:2BdCGziEn9nEl59rzUJ3XT,0.426,0.0222,10,-27.289,1,0.042,0.99,0.926,0.0948,0.0809,101.163,308427,0
25,"24 Préludes, Op. 28: No.15 in D flat major - Sostenuto",Frédéric Chopin,5xXjqFnvQbxZglR1sGm0Yc,spotify:track:5xXjqFnvQbxZglR1sGm0Yc,0.36,0.0177,1,-23.79,1,0.0432,0.992,0.895,0.127,0.0384,70.353,339947,0
26,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach,17i5jLpzndlQhbS4SrTd0B,spotify:track:17i5jLpzndlQhbS4SrTd0B,0.275,0.157,7,-18.752,1,0.0636,0.89,0.842,0.186,0.304,73.289,152280,0
27,Ave Maria,Johann Sebastian Bach,0NqETRzX6JXmU36p0b5plB,spotify:track:0NqETRzX6JXmU36p0b5plB,0.18,0.0317,0,-27.042,1,0.0458,0.993,0.937,0.0565,0.158,125.802,161280,0
